AX J1845.0-0258 #,,,0,,,,,,,8.5,,,,,,,,,29.56,0.11,6.97127,0.00028,,,,,,,,,,tkk+98,7.8E+22,2.3E+22,1.8E+22,1.0,0.5,0.3,,,,,,,,3.3E-13,7E-14,8E-14,tkgg06,~,8.5,,,tkk+98,,2.9E+33,SNR G29.6+0.1,0,8000,ggv99,no,X,T,18 44 54.68,0.04,-02 56 53.1,0.6,tkgg06,,
SGR 1627-41,BATSE,,2,Woods+1999,,SGR,,2.7369555198074273e+40,15-150,11.0,https://arxiv.org/pdf/0807.1658,100,,,23.98969697,213.52,49.42,,336.98,-0.11,2.594578,0.000006,,1.9E-11,4E-12,,2.25E+14,,4.29E+34,,2.16E+3,"etm+09, ebp+09",1.0E+23,2E+22,2E+22,2.9,0.8,0.8,,,,,,,,2.5E-13,1.7E-13,1.0E-13,"eiz+08, akt+12",,11.0,0.3,0.3,ccdd99,,3.6E+33,"CTB 33, MC -71, SNR G337.0-0.1",5000,5000,"ccdd99, wkv+99b",no,X,BT,16 35 51.844,0.020,-47 35 23.31,0.20,wpk+04,,
SGR 0755-2933 #,,,0,,,,,,,3.5,,,,,,,,,245.5,-4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,1e34,,,,,no,X,BT,07 55 42.48,0.15,-29 33 49.2,2.0,ATel8831,,
Swift J1555.2−5402,Swift BAT,74,0,,,SGR,,6.36172512351933e+39,15-150,7.5,https://iopscience.iop.org/article/10.3847/2041-8213/ac2665/pdf,13,,,,,,,327.872,-0.335,3.86,,,3e-11,,,7.5e14,,2.5e34,,1.7e3,,,,,,,,,,,,,,,3.5e-11,,,,,7.5,,,,,1.5e34,,,,,,,,,,,,,,
1E 2259+586,Einstein,1,0,,,AXP,1e38,2e38,10-100,3.2,"https://iopscience.iop.org/article/10.1086/383564/pdf,https://iopscience.iop.org/article/10.3847/2041-8213/ab9a48/pdf",40,8,Fermi GMB catalog,67.79235294,124.14,95.41,,109.09,-1.00,6.9790427250,0.0000000015,,4.83695E-13,6.3E-17,,5.88E+13,,5.62E+31,,2.29E+5,dk14,1.012E+22,7E+19,7E+19,3.75,0.04,0.04,0.37,0.01,0.01,,,,,1.41E-11,3E-13,3E-13,zkd+08,,3.2,0.2,0.2,kf12,,1.7E+34,SNR CTB 109,8800,14000,fg81,yes,HXOI,BGA,23 01 08.295,0.077,+58 52 44.45,0.60,htv+01,,
PSR J1846-0258 ##,RXTE,,,,Kes75 X-ray monitoring,AXP,,,,6.0,,,,,,,,,29.71,-0.24,0.32657128834,0.00000000004,,7.107450E-12,2E-18,,4.88E+13,,8.06E+36,,7.28E+2,lnk+11,4.0E+22,1E+21,1E+21,1.1,0.1,0.1,,,,,,,,4.3E-12,7E-13,7E-13,"nsgh08, lnk+11",,6.0,1.5,0.9,lt08b,,1.9E+34,SNR Kes 75,1690,1850,gvbt00,no,HX,BG,18 46 24.94,0.01,-02 58 30.1,0.2,hcg03,,
SGR J1830–0645,Swift BAT,128,0,,,SGR,9.160884177867836e+39,1.4476458947741765e+40,15-150,10,https://iopscience.iop.org/article/10.3847/2041-8213/abda52/pdf,25,,Swift (CotiZelati2021),,600,,,25.1,1.5,10.4,,,7e-12,,,5.5e14,,2.4e32,,2.4e4,,1e22,,,,,,,,,,,,,,,,,,10,,,,,2e34,,,,,,,,,,,,,,
AX J1818.8-1559 #,,,1,,,,,,,,,,,,,,,,15.04,-0.25,,,,,,,,,,,,,3.6E+22,5E+21,5E+21,1.17,0.17,0.17,,,,,,,,1.68E-12,1.6E-13,1.5E-13,met+12,,,,,,,2.4e34,,,,,no,X,B,18 18 51.38,0.04,-15 59 22.62,0.60,met+12,,
1RXS J170849.0-400910,ROSAT all-sky survey,1,2,"Voges+1999, Israel+1999",,AXP,,,,3.8,,,,,,,,,346.48,0.04,11.00502461,0.00000017,,1.9455E-11,1.3E-14,,4.68E+14,,5.76E+32,,8.96E+3,dk14,1.36E+22,4E+20,4E+20,2.792,0.008,0.012,0.456,0.007,0.004,,,,,2.43E-11,,,rio+07,,3.8,0.5,0.5,dv06b,,4.2E+34,,,,,maybe,HX,G,17 08 46.87,0.06,-40 08 52.44,0.70,icp+03,,
1E 1048.1-5937,Einstein,1,2,,"no persistent hard X-ray emission (RXTE, PCA, INTEGRAL, NuSTAR), distance uncertainty",AXP,,1.3741326266801757e+40,15-150,9.0,https://arxiv.org/pdf/astro-ph/0703684,20,,,215.32763158,455.72,371.84,,288.26,-0.52,6.457875,0.000003,,2.25E-11,,,3.86E+14,,3.30E+33,,4.54E+3,dkg09,9.7E+21,1E+20,1E+20,3.14,0.11,0.11,0.56,0.01,0.01,,,,,5.1E-12,1E-13,1E-13,tgd+08,,9.0,1.7,1.7,dv06b,,4.9E+34,GSH 288.3-0.5-28?,,,gmo+05,yes,HXO,BG,10 50 07.14,0.08,-59 53 21.4,0.6,wc02,,
