;NAME;;P0;;;P1;;;DM;;;W50;;;S400;;;DIST;ASSOC;SNR_age_min;SNR_age_max;PSR;R_LUM;R_LUM14;AGE;BSURF;
20;J1119-6127;ckl+00;0.40796298356;9.0e-11;wje11;4.0202200E-12;1.7e-18;wje11;704.8;2.0e-01;pkj+13;26;0;pkj+21;*;0;*;8.400;GRS:4FGL_J1119.1-6127[aab+22],SNR:G292.2-0.5[cgk+01];4200;7100;HE[gkc+07];*;76.91;1.61e+03;4.1e+13;
21;J1124-5916;cmg+02;0.13547685441;1.7e-10;rkp+11;7.52566E-13;1.7e-17;rkp+11;329.20;1.0e-01;sjk+21;10;0;pkj+21;*;0;*;5.000;GRS:4FGL_J1124.7-5915[aab+22],SNR:G292.0+1.8;2930;3050;HE[hsp+03];*;2.00;2.85e+03;1.02e+13;
22;J1210-5226;zpst00;0.424130748815;1.3e-11;gha13;2.223E-17;1.8e-19;gha13;*;0;*;*;0;*;*;0;*;2.600;SNR:G296.5+10.0[aaa+16d],XRS:1E_1207.4-5209[hg15];7000;10000;NRAD;*;*;3.02e+08;9.83e+10;
23;B1338-62;mdt85;0.193339746306;1.9e-11;wmp+00;2.53107E-13;3.0e-18;wmp+00;719.65;5.0e-02;pkj+13;8.7;0;pkj+21;*;0;*;12.600;GRS:4FGL_J1341.7-6216[aab+22],SNR:G308.8-0.1[cks+92],XRS:[pb15];0;32500;HE[aab+22];*;428.65;1.21e+04;7.08e+12;
24;J1400-6325;rmg+10;0.0311816011;3.0e-10;rmg+10;3.890E-14;6.0e-17;rmg+10;563.00;1.0e-01;sjk+21;*;0;*;*;0;*;7.000;GRS:IGR_J14003-6326,SNR:G310.6-1.6;1000;2500;HE;*;12.25;1.27e+04;1.11e+12;
25;J1437-5959;cng+09;0.0616961234035;9.0e-13;cng+09;8.5870E-15;5.0e-19;cng+09;549.60;1.0e-01;sjk+21;4.33;0;sjk+21;*;0;*;8.543;SNR:G315.9-0.0,PWN:G315.78-0.23[nbg+12];11000;22000;*;*;5.47;1.14e+05;7.37e+11;
26;B1509-58;sh82;0.151581943393;5.0e-12;psj+19;1.52868977E-12;7.0e-20;psj+19;255.24;7.0e-02;kjk+24;16;0;pkj+21;1.5;0;mnd85;4.400;SNR:G320.4-1.2,GRS:AGILE[ppp+09];1900;1900;HE[umw+93],HE[ppp+09];29.04;27.68;1.57e+03;1.54e+13;
27;J1522-5735;pga+13;0.10213598087;4.0e-11;pga+13;3.1239E-14;3.0e-18;pga+13;*;0;*;*;0;*;*;0;*;*;GRS:4FGL_J1521.9-5735[aab+22],SNR:G321.9-0.3(?)[pga+13];;10000;NRAD[aab+22];*;*;5.18e+04;1.81e+12;
#28;J1550-5418;crhr07;2.06983302;4.0e-08;crhr07;2.318E-11;5.0e-14;crhr07;697.0;1.0e+00;lys+23;*;0;*;*;0;*;4.000;XRS:1E_1547.0-5408[gg07],SNR:G327.24-0.13[gg07];0;;AXP,HE;*;64.00;1.41e+03;2.22e+14;
#29;J1622-4950;lbb+10;4.327020261;1.5e-08;scs+17;2.7761E-12;1.4e-15;scs+17;820;3.0e+01;lbb+10;*;0;*;*;0;*;5.571;XRS:CXOU_J162244.8-495054,SNR:G333.9+0.0(?)[ags+12];;6000;AXP,HE;*;148.97;2.47e+04;1.11e+14;
30;J1631-4722;adl+25;0.118719258021;1.2e-11;adl+25;5.55964E-14;9.0e-19;adl+25;873.75;7.0e-02;adl+25;*;0;*;*;0;*;6.793;SNR:G336.7+0.5[adl+25];0;;*;*;*;3.38e+04;2.6e+12;
31;J1632-4818;mlc+01;0.8136719864;1.0e-09;psj+19;6.493042E-13;2.0e-18;psj+19;758;5.0e+00;mlc+01;52;0;pkj+21;*;0;*;5.308;SNR:G336.1-0.2(?)[mbc+02];10000;10000;*;*;13.52;1.99e+04;2.33e+13;
#32;J1635-4735;etm+09;2.594578;6.0e-06;etm+09;*;0;*;*;0;*;*;0;*;*;0;*;*;XRS:SGR_1627-41,SNR:G337.0-0.1(?)[wkv+99a];5000;5000;AXP,NRAD;*;*;*;*;
33;J1640-4631;gth+14;0.2064430479;1.8e-09;gth+14;9.76E-13;5.0e-15;gth+14;*;0;*;*;0;*;*;0;*;12.750;SNR:G338.3-0.0[wg96],PWN:G338.3-0.0[wg96],GRS:HESS_J1640-465[aab+14];1000;3000;NRAD;*;*;3.35e+03;1.44e+13;
34;B1643-43;jlm+92;0.23160332930;9.0e-11;jml+95;1.12753E-13;4.0e-18;jml+95;490.4;3.0e-01;hfs+04;10.9;0;jk18;*;0;*;6.224;SNR:G341.2+0.9(?)[fgw94];0;;*;*;48.42;3.25e+04;5.17e+12;
35;B1706-44;jlm+92;0.1025332260307;1.1e-12;kjk+24;9.306555E-14;1.2e-19;kjk+24;75.579;3.0e-03;kjk+24;6.0;0;pkj+21;25;4.0e+00;lml+98;2.600;GRS:4FGL_J1709.7-4429[aab+22],SNR:G343.1-2.3(?)[mop93],GRS:HESS_J1708-443[hok+09];0;7300;HE[ghd02],HE[aaa+10m];169.00;81.80;1.75e+04;3.13e+12;
#36;J1714-3810;hg10a;3.824936;1.7e-05;hg10b;5.88E-11;8.0e-13;hg10b;*;0;*;*;0;*;*;0;*;13.200;XRS:CXOU_J171405.7-381031,SNR:G348.7+0.3(CTB37B);650;16800;AXP,NRAD;*;*;1.03e+03;4.8e+14;
37;J1714-3830;plca18;0.08414;0;aab+22;*;0;*;*;0;*;*;0;*;*;0;*;*;GRS:4FGL_J1714.4-3830[aab+22],SNR:CTB_37A[plca18];6000;30000;NRAD[plca18];*;*;*;*;
38;J1726-3530;mlc+01;1.11013244403;5.0e-11;mlc+01;1.216751E-12;4.0e-18;mlc+01;718;4.0e+00;pkj+13;37.0;0;jk18;*;0;*;4.722;SNR:G352.2-0.1(?)[mbc+02];2200;8500;*;*;8.70;1.45e+04;3.72e+13;
39;B1727-47;lvw68;0.82994561219;3.0e-11;kjk+24;1.636354E-13;8.0e-19;kjk+24;123.056;4.0e-03;pkj+13;18;0;pkj+21;190;0;mlt+78;0.700;GRS:4FGL_J1731.7-4744[aab+22],SNR:G343.0-6.0(RCW114)[skz+19];0;20000;HE[sbc+19];93.10;13.23;8.04e+04;1.18e+13;
40;J1747-2809;crgl09;0.052152855;2.0e-09;crgl09;1.5557E-13;3.0e-17;crgl09;1133;3.0e+00;crgl09;*;0;*;*;0;*;8.141;XRS:CXOU_J174722.8-280915,SNR:G0.9+0.1;1900;1900;*;*;*;5.31e+03;2.88e+12;
41;B1758-23;mdt85;0.4158270895435;1.8e-12;ywml10;1.1293023E-13;1.1e-19;ywml10;1067.85;1.0e-01;okp+21;128.3;0;jk18;*;0;*;4.000;SNR:W28(?)[fkv93];33000;36000;*;*;112.00;5.83e+04;6.93e+12;
42;B1757-24;mdt85;0.124924206569;8.0e-12;hlk+04;1.279057E-13;5.0e-19;hlk+04;291.55;5.0e-02;pkj+13;4.8;0;pkj+21;7.8;0;lylg95;3.803;GRS:4FGL_J1801.2-2450[aab+22],SNR:G5.4-1.2[fk91],XRS:PWN[kggl01];0;2500;HE[aab+22];112.81;21.12;1.55e+04;4.04e+12;
43;B1800-21;cl86;0.13366692025028;1.7e-13;ywml10;1.34359375E-13;1.7e-20;ywml10;234.041;1.1e-02;kjk+24;13;0;pkj+21;23;5.0e+00;lylg95;4.400;SNR:G8.7-0.1(?)[kw90],GRS:J1804-216(?)[aaa+05d],XRS:PWN[kpg07];15000;28000;HE;445.28;185.86;1.58e+04;4.29e+12;
44;J1809-2332;aaa+09c;0.146788548116;7.0e-12;rkp+11;3.44207E-14;3.0e-19;rkp+11;*;0;*;*;0;*;*;0;*;0.880;GRS:4FGL_J1809.8-2332[aab+22],PWN:[brrk02],SNR:G7.5-1.7[rb08];50000;50000;NRAD[aab+22];*;*;6.76e+04;2.27e+12;
45;J1811-1925;ttdm97;0.06466700;2.0e-08;ttd+99;4.40E-14;4.0e-16;ttd+99;*;0;*;*;0;*;*;0;*;5.000;GRS:4FGL_J1811.5-1925[aab+22],SNR:G11.2-0.3[gs20];1400;2400;NRAD;*;*;2.33e+04;1.71e+12;
46;J1813-1749;gh09b;0.04474055970;4.0e-11;hgp+20;1.26999E-13;1.1e-17;hgp+20;1087;3.0e+00;crhr21;*;0;*;*;0;*;6.147;SNR:G12.8-0.0,GRS:HESS_J1813-178,XRS:CXOU_J181335.16-174957.4[hgp+20];1200;1200;HE[crhr21];*;*;5.58e+03;2.41e+12;
47;J1831-0941;tsc+24;0.30087165340;1.0e-10;tsc+24;8.5612E-14;6.0e-18;tsc+24;370.1;3.0e-01;tsc+24;25.7;5.0e-01;tsc+24;*;0;*;4.171;SNR:G22.0+0.0[tsc+24],PWN:G22.045-0.028[tsc+24];0;10000;*;*;*;5.57e+04;5.14e+12;
