PWN_name,Common_name,Survey,l,b,size(deg),size_error,Flux(cm-2 s-1 TeV-1),Flux_error,Pivot,index,index_error,type
J1858+035,,,,,0.52,0.08,2.84e-13,0.63e-13,3,2.63,0.1,
J1858+020,,"LHAASO, H.E.S.S.",35.5781,-0.5802,0.079,0.016,3.65e-13,4.54e-14,1.27,2.39,0.12,
J1857+051,,HAWC,38.22,1.06,0,,35.5e-15,2.5e-15,7,2.93,0.05,
J1857+029,,"HAWC, MAGIC, H.E.S.S.",36.2742,-0.0153,0.259,0.056,7.08e-12,4.1e-13,0.95,2.572,0.2,
J1857+026,,"HAWC, MAGIC, LHAASO, H.E.S.S.",35.9599,-0.0613,0.259,0.056,7.08e-12,4.1e-13,0.95,2.572,0.2,
J1852-000,,"LHAASO, H.E.S.S.",33.1107,-0.1320,0.278,0.042,2.96e-13,3.6e-14,2.06,2.17,0.01,
J1852+013,,"HAWC, H.E.S.S.",34.2288,0.4952,0,,18.2e-15,2.3e-15,7,2.9,0.1,
J1852+008,,LHAASO,33.7892,0.1688,0.64,0.07,4.67e-13,0.7e-13,3,2.74,0.05,
J1849-000,,LHAASO,32.7442,0.4761,0.8,0,60.8e-15,4.5e-15,7,2.47,0.05,
J1844-032,,HAWC,29.2240,0.1085,0.6,0,92.8e-15,5.2e-15,7,2.51,0.04,
J1844-030,,"HAWC, H.E.S.S.",29.4101,0.0899,0,,4.58e-13,5.64e-14,0.95,2.48,0.12,
J1844-001,,HAWC,31.9500,1.5000,0,,7.4e-15,3e-15,7,2.76,0.12,
J1843-036,,LHAASO,28.7222,0.2098,0.239,0.063,9.14e-13,5.79e-14,1.87,2.15,0.05,
J1843-030,,"HAWC, ARGO-YBJ, LHAASO, H.E.S.S.",28.8989,0.0762,0.239,0.063,9.14e-13,5.79e-14,1.87,2.15,0.05,
J1840-055,,"HAWC, MAGIC, ARGO-YBJ, LHAASO, H.E.S.S.",26.7951,-0.1976,0.408,0.033,1.38e-11,4.64e-13,1.05,2.47,0.03,
J1839-057,,LHAASO,26.4901,-0.0424,0,,4.27e-17,1.01e-17,100,,,
J1837-072,,MAGIC,24.8526,-0.2057,0,,,,,,,
J1837-065,,HAWC,25.4835,0.0981,0,,81.9e-15,1.7e-15,7,2.73,0.02,
J1835-069,,MAGIC,24.9356,0.3736,0.21,0.05,1.4e-12,0.2e-12,1.31,2.74,0.08,
J1834-087,,"MAGIC, LHAASO, H.E.S.S.",23.2423,-0.3146,0.21,0.037,5.70e-12,.392e-13,0.87,2.61,0.07,
J1832-085,,H.E.S.S.,23.2054,0.2956,0,,1.76e-13,2.86e-14,1.27,2.38,0.14,
J1831-104,,LHAASO,21.3297,-0.3651,0.94,0.09,5.39e-16,0.6e-16,50,3.53,0.15,
J1829+070,,HAWC,36.7193,8.0921,0,,8.1e-15,1.7e-15,7,2.69,0.17,
J1828-099,,H.E.S.S.,21.4901,0.3799,0,,2.24e-13,2.97e-14,1.4,2.25,0.12,
J1826-130,,"HAWC, LHAASO, H.E.S.S.",18.4338,-0.4126,0.152,0.021,2.73e-13,3.78e-14,2.06 ,2.04,0.1,
J1825-134,,LHAASO,18.0679,-0.5406,,,138e-15,8.1e-15,7,2.58,,
J1819-150s,,HAWC,15.9092,0.0897,0,,58e-15,7.9e-15,7,2.88,0.1,
J1814-173,,"HAWC, LHAASO",13.3317,0.1268,0,0,88.4e-15,13e-15,7,2.61,0.09,
J1814-166,,LHAASO,14.0292,0.2885,0.68,0.08,11.9e-16,1.3e-16,50,3.74,0.2,
J1813-126,,"HAWC, LHAASO, H.E.S.S.",17.3101,2.4899,0.213,0.032,1.15e-13,2.31e-13,3.02,1.99,0.14,
J1810-193,,"HAWC, LHAASO, H.E.S.S.",11.1800,-0.0874,0.404,0.048,6.62e-12,4.66e-13,1.05,2.38,0.07,
J1808-204,,H.E.S.S.,9.9784,-0.2427,0,,0.02e-14,1.09e-14,1.7,2.19,0.14,
J1804-217,,"CANGAROO, H.E.S.S.",8.4002,-0.0284,0.243,0.034,2.13e-11,6.2e-13,0.72,2.69,0.04,
J1746-308,,H.E.S.S.,358.4507,-1.1125,0.162,0.036,7.21e-12,8.1e-13,0.49,3.27,0.22,
J1746-289,,"VERITAS, MAGIC",0.0551,-0.1481,0,,,,,,,
J1746-288,,MAGIC,0.1371,-0.1208,0,,,,,,,
J1746-285,,"VERITAS, H.E.S.S.",0.1401,-0.1141,0,,1.8e-13,4.6e-14,1,2.17,0.24,
J1745-290d,GC Ridge,"VERITAS, H.E.S.S.",359.9449,-0.0439,0.1,,1.73e-8,0.45e-8,1,2.29,0.27,
